,Date,Response type,Response time
259,96.0,Latency_Time,302.696
260,97.0,Latency_Time,304.179
261,98.0,Latency_Time,301.22
262,99.0,Latency_Time,303.382
263,100.0,Latency_Time,299.949
264,101.0,Latency_Time,284.169
265,102.0,Latency_Time,297.901
266,103.0,Latency_Time,282.517
267,104.0,Latency_Time,312.457
268,105.0,Latency_Time,296.74
269,106.0,Latency_Time,313.388
270,107.0,Latency_Time,352.349
271,108.0,Latency_Time,289.2
272,109.0,Latency_Time,287.567
273,110.0,Latency_Time,294.308
274,111.0,Latency_Time,298.338
275,112.0,Latency_Time,284.359
276,113.0,Latency_Time,277.36
277,114.0,Latency_Time,256.997
278,115.0,Latency_Time,305.963
279,116.0,Latency_Time,276.722
280,117.0,Latency_Time,285.644
281,118.0,Latency_Time,301.124
282,119.0,Latency_Time,307.323
283,120.0,Latency_Time,294.077
284,121.0,Latency_Time,276.873
285,122.0,Latency_Time,283.18
286,123.0,Latency_Time,291.821
287,124.0,Latency_Time,292.972
288,125.0,Latency_Time,292.954
289,126.0,Latency_Time,303.689
290,127.0,Latency_Time,289.741
291,128.0,Latency_Time,279.568
292,129.0,Latency_Time,295.472
293,130.0,Latency_Time,281.993
294,131.0,Latency_Time,272.662
295,132.0,Latency_Time,280.423
296,133.0,Latency_Time,277.656
297,134.0,Latency_Time,293.634
298,135.0,Latency_Time,283.804
299,136.0,Latency_Time,304.606
300,138.0,Latency_Time,307.641
301,139.0,Latency_Time,322.628
302,140.0,Latency_Time,295.061
303,141.0,Latency_Time,290.719
304,142.0,Latency_Time,295.135
305,143.0,Latency_Time,283.958
306,144.0,Latency_Time,283.653
307,145.0,Latency_Time,278.386
308,147.0,Latency_Time,286.97
309,148.0,Latency_Time,294.25
310,149.0,Latency_Time,284.264
311,150.0,Latency_Time,305.784
312,151.0,Latency_Time,298.957
313,153.0,Latency_Time,297.158
314,154.0,Latency_Time,317.427
315,156.0,Latency_Time,318.119
316,157.0,Latency_Time,289.055
317,159.0,Latency_Time,295.132
318,161.0,Latency_Time,286.676
319,163.0,Latency_Time,309.002
320,164.0,Latency_Time,292.713
321,165.0,Latency_Time,277.848
322,167.0,Latency_Time,297.683
323,168.0,Latency_Time,285.593
324,170.0,Latency_Time,273.584
325,172.0,Latency_Time,283.162
326,176.0,Latency_Time,272.08
327,179.0,Latency_Time,281.195
